Part: 5 	Sequence:1
Part: 1 	Sequence:4
Part: 9 	Sequence:7
Part: 12 	Sequence:8
Part: 5 	Sequence:9
Part: 10 	Sequence:10
Part: 8 	Sequence:13
Part: 2 	Sequence:14
Part: 2 	Sequence:15
Part: 7 	Sequence:16
Part: 7 	Sequence:18
Part: 4 	Sequence:20
Part: 10 	Sequence:26
Part: 1 	Sequence:28
Part: 10 	Sequence:29
Part: 6 	Sequence:30
Part: 4 	Sequence:32
Part: 6 	Sequence:34
Part: 3 	Sequence:37
Part: 10 	Sequence:39
Part: 9 	Sequence:40
Part: 5 	Sequence:41
Part: 2 	Sequence:42
Part: 12 	Sequence:46
Part: 8 	Sequence:47
Part: 4 	Sequence:48
Part: 2 	Sequence:50
Part: 7 	Sequence:51
Part: 9 	Sequence:52
Part: 11 	Sequence:53
Part: 8 	Sequence:54
Part: 1 	Sequence:56
Part: 1 	Sequence:57
Part: 7 	Sequence:58
Part: 5 	Sequence:60
Part: 3 	Sequence:65
Part: 9 	Sequence:66
Part: 11 	Sequence:69
Part: 4 	Sequence:71
Part: 6 	Sequence:73
Part: 9 	Sequence:77
Part: 8 	Sequence:80
Part: 3 	Sequence:81
Part: 9 	Sequence:84
Part: 1 	Sequence:88
Part: 6 	Sequence:92
Part: 11 	Sequence:95
Part: 6 	Sequence:97
Part: 10 	Sequence:100
Part: 8 	Sequence:105
Part: 11 	Sequence:106
Part: 1 	Sequence:107
Part: 7 	Sequence:110
Part: 5 	Sequence:112
Part: 1 	Sequence:113
Part: 5 	Sequence:114
Part: 2 	Sequence:116
Part: 7 	Sequence:117
Part: 4 	Sequence:120
Part: 6 	Sequence:126
Part: 9 	Sequence:128
Part: 11 	Sequence:132
Part: 3 	Sequence:133
Part: 7 	Sequence:134
Part: 12 	Sequence:135
Part: 11 	Sequence:136
Part: 8 	Sequence:139
Part: 12 	Sequence:142
Part: 3 	Sequence:143
Part: 5 	Sequence:144
Part: 1 	Sequence:148
Part: 8 	Sequence:151
Part: 10 	Sequence:152
Part: 9 	Sequence:154
Part: 4 	Sequence:155
Part: 7 	Sequence:156
Part: 12 	Sequence:157
Part: 3 	Sequence:158
Part: 4 	Sequence:159
Part: 11 	Sequence:160
Part: 2 	Sequence:161
Part: 10 	Sequence:162
Part: 8 	Sequence:163
Part: 6 	Sequence:164
Part: 11 	Sequence:169
Part: 12 	Sequence:170
Part: 2 	Sequence:171
Part: 4 	Sequence:174
Part: 6 	Sequence:175
Part: 12 	Sequence:177
Part: 3 	Sequence:182
Part: 5 	Sequence:186
Part: 2 	Sequence:189
Part: 3 	Sequence:193
Part: 10 	Sequence:197
Part: 12 	Sequence:198
